
CommandType     Name                                               Version    Source
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticMetri… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticMetri… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticModel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticModel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticOverv… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticScore… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticScore… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsMalwareInformation    2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsMalwareInformationCo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsMalwareInformationDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementWindowsMalwareInformationDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgAdminEdgeInternetExplorerModeSiteList        2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgAdminEdgeInternetExplorerModeSiteListShared… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgAdminEdgeInternetExplorerModeSiteListSite    2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDetectedApp                  2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCategory               2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicy       2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicyAssig… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicyDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicySched… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicySetti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceCompliancePolicyUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceConfiguration          2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceConfigurationAssignme… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceConfigurationDeviceSe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceConfigurationDeviceSt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementDeviceConfigurationUserStat… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementManagedDevice                2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementManagedDeviceCompliancePoli… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementManagedDeviceConfigurationS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementManagedDeviceWindowsProtect… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementNotificationMessageTemplate  2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementNotificationMessageTemplate… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementTroubleshootingEvent         2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticMetri… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticModel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticScore… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementUserExperienceAnalyticWorkF… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementWindowsInformationProtectio… 2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementWindowsMalwareInformation    2.11.1     Microsoft.Graph.DeviceManagement
Function        New-MgDeviceManagementWindowsMalwareInformationDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgAdminEdge                                 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgAdminEdgeInternetExplorerMode             2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgAdminEdgeInternetExplorerModeSiteList     2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgAdminEdgeInternetExplorerModeSiteListSha… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgAdminEdgeInternetExplorerModeSiteListSite 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDetectedApp               2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCategory            2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicy    2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyAs… 2.11.1     Microsoft.Graph.DeviceManagement
